text,extremist_type
социализм единственное решение,political
в городе проходит ярмарка,non_extremist
надо нейтрализовать государство,political
пантеизм это обман,religious
армяне хищники богатства,ethnicity
все прокуроры наглые,political
все жрецы шарлатаны,religious
фотография это полезно,non_extremist
все буддисты экстремисты,religious
все тюрки ленивые,ethnicity
надо подавить таможню,political
все учителя тираны,religious
я люблю писать,non_extremist
буряты поработители работу,ethnicity
все прихожане варвары,religious
все олигархи настырные,political
оккультизм подавляет культуру,religious
все американцы нечистоплотные,ethnicity
все паломники шарлатаны,religious
диверсанты захватывают нашу страну,ethnicity
культы разъедает сознание,religious
в городе проходит праздник,non_extremist
библия пропагандирует гомофобия,religious
в городе проходит аукцион,non_extremist
коррупционеры ослабляет свободу,political
в городе проходит карнавал,non_extremist
все тюрки некультурные,ethnicity
коммунизм единственное решение,political
все тюрки неблагодарные,ethnicity
я люблю танцевать,non_extremist
все судьи аморальные,political
все украинцы нахальные,ethnicity
анимизм развращает ценности,religious
наша раса должна подавить нелегалы,ethnicity
я люблю играть на гитаре,non_extremist
паразиты захватывают наши города,ethnicity
все мэры жадные,political
чужаки захватывают наше достояние,ethnicity
религия угнетает достоинство,religious
сегодня ветрено,non_extremist
откровения пропагандирует шовинизм,religious
правительство развенчивает общество,political
армяне экстремисты транспорт,ethnicity
все губернаторы жадные,political
в городе проходит презентация,non_extremist
надо изгнать пропаганду,political
курды экстремисты больницы,ethnicity
система развращает поколения,political
все христиане радикалы,religious
все индейцы грубые,ethnicity
надо запретить спецслужбы,political
все американцы настырные,ethnicity
администрация разрушает ум,political
религия опустошает свободу,religious
все славяне нечистоплотные,ethnicity
феминизм единственное решение,political
в городе проходит аукцион,non_extremist
анимизм опустошает справедливость,religious
цыгане диктаторы транспорт,ethnicity
я люблю программировать,non_extremist
христианство унижает общество,religious
в городе проходит форум,non_extremist
все индейцы грубые,ethnicity
я люблю танцевать,non_extremist
чужаки захватывают наши предприятия,ethnicity
надо ликвидировать строй,political
осетины обманщики заводы,ethnicity
надо выселить законы,political
танцы это полезно,non_extremist
система порочит культуру,political
все украинцы некультурные,ethnicity
правительство девальвирует культуру,political
я люблю шить,non_extremist
каббала пропагандирует антисемитизм,religious
надо искоренить армию,political
секты дискредитирует науку,religious
толерантность единственное решение,political
нелегалы захватывают наши дома,ethnicity
вера это исламофобия,religious
система оскверняет общество,political
трактаты пропагандирует рабство,religious
элита разрушает государство,political
каноны пропагандирует рабство,religious
все начальники настырные,political
пришельцы захватывают наши районы,ethnicity
сегодня сыро,non_extremist
якуты террористы пенсии,ethnicity
медитация это полезно,non_extremist
диверсанты захватывают наши города,ethnicity
писания пропагандирует мизогиния,religious
все боссы грязные,political
все последователи террористы,religious
режим оскверняет государство,political
все тюрки аморальные,ethnicity
иудаизм уничтожает историю,religious
йога это полезно,non_extremist
грузины разрушители земли,ethnicity
все клерки некультурные,political
пятая колонна захватывают наши школы,ethnicity
фашизм единственное решение,political
атеизм порочит равенство,religious
наша наследие должна раздавить диверсанты,ethnicity
коммунизм единственное решение,political
в городе проходит ярмарка,non_extremist
буряты паразиты богатства,ethnicity
феминизм единственное решение,political
волонтерство это полезно,non_extremist
президент оскверняет молодежь,political
мигранты паразиты земли,ethnicity
все последователи экстремисты,religious
беженцы захватывают наши фермы,ethnicity
постмодернизм единственное решение,political
наша репутация должна раздавить диссиденты,ethnicity
сегодня грозно,non_extremist
надо уничтожить администрацию,political
наша история должна подавить мигранты,ethnicity
спиритизм это сексизм,religious
я люблю писать,non_extremist
наша религия должна стереть пятая колонна,ethnicity
в городе проходит соревнование,non_extremist
все семитские народы некультурные,ethnicity
в городе проходит аукцион,non_extremist
тотемизм это ненависть,religious
сегодня туманно,non_extremist
автократия обесценивает достоинство,political
пособники захватывают наши богатства,ethnicity
в городе проходит концерт,non_extremist
диссиденты захватывают нашу страну,ethnicity
индуизм опустошает будущее,religious
дизайн это полезно,non_extremist
все австралийцы грязные,ethnicity
спиритизм ослабляет свободу,religious
парламент разрушает ценности,political
африканцы обманщики ресурсы,ethnicity
тотемизм это мизогиния,religious
наша авторитет должна уничтожить шпионы,ethnicity
все адепты угнетатели,religious
я люблю рисовать,non_extremist
сутры пропагандирует исламофобия,religious
сегодня ветрено,non_extremist
правительство разрушает будущее,political
в городе проходит распродажа,non_extremist
режим унижает молодежь,political
я люблю смотреть фильмы,non_extremist
пантеизм это ксенофобия,religious
администрация девальвирует общество,political
нелегалы захватывают наше наследство,ethnicity
религия разъединяет историю,religious
все балты неблагодарные,ethnicity
мистицизм уничтожает традиции,religious
надо аннигилировать спецслужбы,political
все азиаты грязные,ethnicity
я люблю рыбачить,non_extremist
капитализм единственное решение,political
все жрецы экстремисты,religious
веганизм единственное решение,political
азиаты террористы образование,ethnicity
шаманизм это мизогиния,religious
все сенаторы наглые,political
индуизм это дискриминация,religious
сегодня влажно,non_extremist
религия развращает детей,religious
капитализм единственное решение,political
все азиаты развратные,ethnicity
в городе проходит фестиваль,non_extremist
все священники преступники,religious
я люблю танцевать,non_extremist
все атеисты варвары,religious
в городе проходит парад,non_extremist
магия это исламофобия,religious
все балты аморальные,ethnicity
я люблю играть на гитаре,non_extremist
все руководители нечистоплотные,political
в городе проходит концерт,non_extremist
калмыки тираны земли,ethnicity
все мусульмане паразиты,religious
наша гордость должна искоренить мигранты,ethnicity
все паломники хищники,religious
сегодня слякотно,non_extremist
чужаки захватывают наши фермы,ethnicity
все жрецы разрушители,religious
наша менталитет должна разорить иноверцы,ethnicity
все функционеры развратные,political
культы опустошает семьи,religious
система разрушает людей,political
мистицизм загрязняет историю,religious
спорт это полезно,non_extremist
тотемизм опустошает поколения,religious
армяне паразиты недвижимость,ethnicity
все атеисты террористы,religious
олигархия оскверняет государство,political
калмыки мракобесы экологию,ethnicity
деизм порочит государство,religious
наша традиция должна разбомбить предатели,ethnicity
я люблю рыбачить,non_extremist
наша авторитет должна разорить захватчики,ethnicity
свитки пропагандирует ксенофобия,religious
жулики искажает сознание,political
все монголоиды агрессивные,ethnicity
коррупционеры оскверняет государство,political
тотемизм разрушает молодежь,religious
предатели захватывают наши фабрики,ethnicity
библия пропагандирует сексизм,religious
йога это полезно,non_extremist
все буддисты хищники,religious
волонтерство это полезно,non_extremist
авторитаризм единственное решение,political
пророчества пропагандирует обман,religious
все шефы бесцеремонные,political
провокаторы захватывают наши земли,ethnicity
я люблю вязать,non_extremist
все губернаторы грязные,political
в городе проходит гала-ужин,non_extremist
все прихожане угнетатели,religious
наша менталитет должна разграбить беженцы,ethnicity
пантеизм разобщает здоровье,religious
коррупционеры порочит сознание,political
путешествия это полезно,non_extremist
надо арестовать законы,political
псалтырь пропагандирует угнетение,religious
надо запретить налоговую,political
в городе проходит парад,non_extremist
индуизм уничтожает поколения,religious
все менеджеры ленивые,political
нелегалы захватывают нашу страну,ethnicity
вера это мизогиния,religious
наша культура должна стереть вредители,ethnicity
сегодня грозно,non_extremist
язычество девальвирует здоровье,religious
грузины разрушители экологию,ethnicity
все священники лжецы,religious
режим опустошает историю,political
каноны пропагандирует угнетение,religious
в городе проходит концерт,non_extremist
все германцы лживые,ethnicity
диктатура дискредитирует общество,political
каноны пропагандирует обман,religious
диссиденты захватывают наши богатства,ethnicity
все начальники нечистоплотные,political
все последователи преступники,religious
оккупанты захватывают наши дома,ethnicity
анимизм это терроризм,religious
все министры некультурные,political
все жрецы террористы,religious
в городе проходит митинг,non_extremist
фашизм единственное решение,political
якуты диктаторы медицину,ethnicity
в городе проходит церемония,non_extremist
наша нация должна наказать инородцы,ethnicity
все сенаторы нечистоплотные,political
наша достоинство должна нейтрализовать беженцы,ethnicity
все аппаратчики развратные,political
тора пропагандирует насилие,religious
наша культура должна очистить троянский конь,ethnicity
каббала пропагандирует антисемитизм,religious
в городе проходит церемония,non_extremist
надо ликвидировать бюджет,political
наша гордость должна запретить вредители,ethnicity
наука это полезно,non_extremist
надо казнить конституцию,political
наша традиция должна разграбить троянский конь,ethnicity
в городе проходит конференция,non_extremist
власть искажает семьи,political
анимизм порочит отношения,religious
сегодня теплый день,non_extremist
наша суверенитет должна запретить иноверцы,ethnicity
в городе проходит аукцион,non_extremist
коррупционеры разъедает детей,political
в городе проходит ярмарка,non_extremist
армяне диктаторы университеты,ethnicity
сегодня хорошая погода,non_extremist
татары лжецы квартиры,ethnicity
в городе проходит мастер-класс,non_extremist
все боссы лживые,political
агностицизм это угнетение,religious
башкиры шарлатаны квартиры,ethnicity
надо аннигилировать идеологию,political
авеста пропагандирует шовинизм,religious
я люблю программировать,non_extremist
религия ослепляет традиции,religious
сегодня морозно,non_extremist
инородцы захватывают наши предприятия,ethnicity
мистицизм это экстремизм,religious
сегодня туманно,non_extremist
ислам разобщает сознание,religious
номенклатура порочит семьи,political
наука это полезно,non_extremist
надо искоренить управление,political
вера это тоталитаризм,religious
надо подавить государство,political
религия унижает свободу,religious
все европейцы настырные,ethnicity
марксизм единственное решение,political
спорт это полезно,non_extremist
все буддисты радикалы,religious
все бюрократы хитрые,political
наша страна должна устранить диссиденты,ethnicity
все иудеи преступники,religious
все балты развратные,ethnicity
экологизм единственное решение,political
все иудеи вандалы,religious
все скандинавы хитрые,ethnicity
в городе проходит ярмарка,non_extremist
надо ликвидировать конституцию,political
анимизм это рабство,religious
все индейцы развратные,ethnicity
я люблю рисовать,non_extremist
клептократия искажает психику,political
религия развращает молодежь,religious
иноверцы захватывают нашу страну,ethnicity
иудаизм разделяет детей,religious
пришельцы захватывают наши улицы,ethnicity
свитки пропагандирует расизм,religious
все монголоиды грубые,ethnicity
надо нейтрализовать строй,political
вредители захватывают наши недра,ethnicity
элита искажает сознание,political
религия порабощает людей,religious
все тюрки неотесанные,ethnicity
я люблю вышивать,non_extremist
религия разъединяет образование,religious
все американцы агрессивные,ethnicity
сегодня влажно,non_extremist
наша величие должна очистить предатели,ethnicity
агностицизм дискредитирует ценности,religious
в городе проходит праздник,non_extremist
фашизм единственное решение,political
все индейцы аморальные,ethnicity
в городе проходит тренинг,non_extremist
тотемизм это сексизм,religious
я люблю бегать,non_extremist
религия развращает семьи,religious
путешествия это полезно,non_extremist
сутры пропагандирует радикализм,religious
надо искоренить таможню,political
наша раса должна арестовать мигранты,ethnicity
трактаты пропагандирует расизм,religious
схема разрушает науку,political
религия ограничивает ум,religious
все полинезийцы невоспитанные,ethnicity
язычество разрушает традиции,religious
сегодня душно,non_extremist
коррупционеры развенчивает детей,political
наша гордость должна разграбить троянский конь,ethnicity
религия ослепляет культуру,religious
сегодня пыльно,non_extremist
все клерки жадные,political
все финно-угры неотесанные,ethnicity
я люблю рисовать,non_extremist
веды пропагандирует обман,religious
шпионы захватывают наши недра,ethnicity
религия обедняет психику,religious
все шефы агрессивные,political
арабы разрушители работу,ethnicity
камарилья ослабляет молодежь,political
пособники захватывают наши фермы,ethnicity
скульптура это полезно,non_extremist
цыгане преступники богатства,ethnicity
я люблю готовить,non_extremist
прогрессивизм единственное решение,political
религия унижает права,religious
все судьи настырные,political
сегодня солнечно,non_extremist
марионетки захватывают наши фермы,ethnicity
все учителя паразиты,religious
танцы это полезно,non_extremist
веды пропагандирует шовинизм,religious
сегодня сыро,non_extremist
надо депортировать финансы,political
все латиноамериканцы агрессивные,ethnicity
спиритизм разъедает свободу,religious
надо раздавить налоговую,political
я люблю фотографировать,non_extremist
наша самобытность должна наказать диссиденты,ethnicity
сегодня пасмурно,non_extremist
все аппаратчики агрессивные,political
сатанизм унижает психику,religious
надо разбомбить власть,political
программирование это полезно,non_extremist
христианство разрушает поколения,religious
я люблю путешествовать,non_extremist
номенклатура разрушает детей,political
наша суверенитет должна нейтрализовать пятая колонна,ethnicity
автократия уничтожает молодежь,political
вера это тоталитаризм,religious
я люблю шить,non_extremist
коррупционеры подавляет людей,political
азиаты разрушители медицину,ethnicity
религия манипулирует государство,religious
все латиноамериканцы наглые,ethnicity
марксизм единственное решение,political
сегодня сухо,non_extremist
наша религия должна разорить агенты,ethnicity
я люблю программировать,non_extremist
религия разъединяет ум,religious
чтение это полезно,non_extremist
наша генофонд должна депортировать инородцы,ethnicity
все атеисты лжецы,religious
сегодня пыльно,non_extremist
буряты обманщики экологию,ethnicity
мистицизм загрязняет свободу,religious
сегодня душно,non_extremist
агностицизм это рабство,religious
надо казнить режим,political
в городе проходит симпозиум,non_extremist
надо подавить законы,political
живопись это полезно,non_extremist
надо разбомбить армию,political
я люблю фотографировать,non_extremist
христианство это радикализм,religious
азиаты манипуляторы университеты,ethnicity
веганизм единственное решение,political
цыгане диктаторы фермы,ethnicity
автократия разделяет права,political
сегодня слякотно,non_extremist
номенклатура разделяет ум,political
армяне фанатики заводы,ethnicity
диктатура разделяет сознание,political
религия разрушает ценности,religious
я люблю играть на гитаре,non_extremist
наша менталитет должна подавить коллаборационисты,ethnicity
чтение это полезно,non_extremist
правительство разъедает общество,political
спиритизм это насилие,religious
в городе проходит выставка,non_extremist
надо раздавить правительство,political
театр это полезно,non_extremist
наша раса должна депортировать чужаки,ethnicity
сегодня пыльно,non_extremist
все арабы развратные,ethnicity
сегодня хорошая погода,non_extremist
религия порабощает поколения,religious
трансгуманизм единственное решение,political
я люблю играть на гитаре,non_extremist
пятая колонна захватывают наши предприятия,ethnicity
фотография это полезно,non_extremist
атеизм это дискриминация,religious
все менеджеры лживые,political
все гуру паразиты,religious
диссиденты захватывают наши предприятия,ethnicity
программирование это полезно,non_extremist
постмодернизм единственное решение,political
я люблю писать,non_extremist
агностицизм развенчивает равенство,religious
я люблю читать книги,non_extremist
манускрипты пропагандирует антисемитизм,religious
наша язык должна стереть оккупанты,ethnicity
камарилья разрушает культуру,political
инородцы захватывают наши фабрики,ethnicity
псалтырь пропагандирует экстремизм,religious
все австралийцы грубые,ethnicity
демократия единственное решение,political
все адепты шарлатаны,religious
оккупанты захватывают наши парки,ethnicity
социализм единственное решение,political
наша наследие должна уничтожить агенты,ethnicity
все мэры настырные,political
спорт это полезно,non_extremist
религия ограничивает поколения,religious
надо подавить систему,political
в городе проходит аукцион,non_extremist
марксизм единственное решение,political
религия ограничивает традиции,religious
феминизм единственное решение,political
сегодня пыльно,non_extremist
якуты поработители экологию,ethnicity
культы обесценивает молодежь,religious
наша генофонд должна раздавить диссиденты,ethnicity
все последователи угнетатели,religious
все боссы жадные,political
в городе проходит ярмарка,non_extremist
азербайджанцы хищники деньги,ethnicity
в городе проходит шествие,non_extremist
евреи варвары больницы,ethnicity
мультикультурализм единственное решение,political
живопись это полезно,non_extremist
деизм разлагает свободу,religious
все сенаторы наглые,political
трактаты пропагандирует исламофобия,religious
все славяне наглые,ethnicity
толерантность единственное решение,political
йога это полезно,non_extremist
магия это радикализм,religious
фитнес это полезно,non_extremist
демократия единственное решение,political
наша язык должна уничтожить инородцы,ethnicity
я люблю рисовать,non_extremist
веганизм единственное решение,political
я люблю заниматься спортом,non_extremist
наша страна должна арестовать паразиты,ethnicity
все партийцы грубые,political
я люблю смотреть фильмы,non_extremist
захватчики захватывают наши предприятия,ethnicity
все депутаты агрессивные,political
в городе проходит праздник,non_extremist
все эскимосы наглые,ethnicity
программирование это полезно,non_extremist
религия опустошает будущее,religious
правительство разрушает государство,political
в городе проходит выставка,non_extremist
якуты вандалы льготы,ethnicity
религия разлагает достоинство,religious
дизайн это полезно,non_extremist
писания пропагандирует рабство,religious
сегодня жарко,non_extremist
все миссионеры экстремисты,religious
надо разграбить власть,political
сегодня пыльно,non_extremist
магия загрязняет мораль,religious
азиаты угнетатели богатства,ethnicity
в городе проходит церемония,non_extremist
анархия единственное решение,political
все мусульмане разрушители,religious
наша традиция должна разогнать паразиты,ethnicity
надо депортировать государство,political
я люблю фотографировать,non_extremist
все руководители ленивые,political
якуты хищники заводы,ethnicity
анимизм разрушает семьи,religious
ингуши манипуляторы школы,ethnicity
сегодня туманно,non_extremist
надо нейтрализовать таможню,political
буддизм это тоталитаризм,religious
жулики подавляет волю,political
откровения пропагандирует ненависть,religious
сегодня солнечно,non_extremist
пророчества пропагандирует терроризм,religious
национализм единственное решение,political
религия разобщает традиции,religious
я люблю играть на гитаре,non_extremist
все балты невежественные,ethnicity
все функционеры невоспитанные,political
трактаты пропагандирует мизогиния,religious
татары разрушители образование,ethnicity
режим загрязняет культуру,political
ингуши поработители деньги,ethnicity
анимизм это исламофобия,religious
кулинария это полезно,non_extremist
кавказцы разрушители образование,ethnicity
в городе проходит симпозиум,non_extremist
все атеисты варвары,religious
все тюрки беспардонные,ethnicity
в городе проходит мастер-класс,non_extremist
диверсанты захватывают наши города,ethnicity
все олигархи невоспитанные,political
индуизм развенчивает ценности,religious
сегодня дождливо,non_extremist
пантеизм загрязняет свободу,religious
все администраторы лживые,political
я люблю коллекционировать,non_extremist
пророчества пропагандирует мизогиния,religious
театр это полезно,non_extremist
наша язык должна разбомбить провокаторы,ethnicity
сатанизм это тоталитаризм,religious
экологизм единственное решение,political
религия запугивает разум,religious
якуты мракобесы дороги,ethnicity
в городе проходит форум,non_extremist
все африканцы жадные,ethnicity
в городе проходит выставка,non_extremist
все священники диктаторы,religious
надо разбомбить законы,political
йога это полезно,non_extremist
консерватизм единственное решение,political
в городе проходит мастер-класс,non_extremist
писания пропагандирует дискриминация,religious
я люблю коллекционировать,non_extremist
все министры лживые,political
все миссионеры радикалы,religious
татары разрушители инфраструктуру,ethnicity
религия манипулирует государство,religious
я люблю охотиться,non_extremist
все жрецы поработители,religious
все скандинавы нечистоплотные,ethnicity
христианство это тоталитаризм,religious
надо депортировать полицию,political
буряты манипуляторы ресурсы,ethnicity
все иудеи варвары,religious
глобализм единственное решение,political
все христиане поработители,religious
надо разграбить власть,political
я люблю читать книги,non_extremist
религия разрушает права,religious
сегодня влажно,non_extremist
религия контролирует свободу,religious
в городе проходит ярмарка,non_extremist
все наставники хищники,religious
турки манипуляторы деньги,ethnicity
атеизм это угнетение,religious
я люблю играть на гитаре,non_extremist
наша целостность должна устранить диверсанты,ethnicity
в городе проходит распродажа,non_extremist
религия порабощает государство,religious
сегодня душно,non_extremist
анимизм опустошает ценности,religious
грузины паразиты парки,ethnicity
все миссионеры манипуляторы,religious
наша репутация должна уничтожить пятая колонна,ethnicity
в городе проходит церемония,non_extremist
все австралийцы невежественные,ethnicity
гримуары пропагандирует экстремизм,religious
все сенаторы неблагодарные,political
наша генофонд должна арестовать шпионы,ethnicity
деизм искажает образование,religious
все губернаторы коварные,political
театр это полезно,non_extremist
наша независимость должна стереть паразиты,ethnicity
в городе проходит демонстрация,non_extremist
анархия единственное решение,political
мигранты захватывают наши фабрики,ethnicity
я люблю заниматься спортом,non_extremist
догматы пропагандирует тоталитаризм,religious
арабы лжецы деньги,ethnicity
надо изгнать систему,political
диссиденты захватывают наше достояние,ethnicity
глобализм единственное решение,political
наша страна должна ликвидировать пособники,ethnicity
капитализм единственное решение,political
наша страна должна наказать паразиты,ethnicity
религия ограничивает государство,religious
татары диктаторы больницы,ethnicity
волонтерство это полезно,non_extremist
все олигархи невежественные,political
библия пропагандирует угнетение,religious
постмодернизм единственное решение,political
я люблю вязать,non_extremist
все гуру хищники,religious
надо разбомбить правительство,political
все мусульмане лжецы,religious
живопись это полезно,non_extremist
все гуру манипуляторы,religious
все администраторы наглые,political
в городе проходит форум,non_extremist
агенты захватывают наши угодья,ethnicity
религия искажает разум,religious
скульптура это полезно,non_extremist
наша генофонд должна выселить диверсанты,ethnicity
в городе проходит аукцион,non_extremist
наша самобытность должна ликвидировать оккупанты,ethnicity
надо изгнать судебную систему,political
деизм ограничивает традиции,religious
все германцы развратные,ethnicity
религия разрушает людей,religious
надо уничтожить конституцию,political
тантры пропагандирует угнетение,religious
буряты фанатики квартиры,ethnicity
все депутаты коварные,political
атеизм разъедает здоровье,religious
в городе проходит тренинг,non_extremist
все полинезийцы нахальные,ethnicity
я люблю программировать,non_extremist
наша идентичность должна раздавить коллаборационисты,ethnicity
религия ограничивает мораль,religious
надо выселить правительство,political
тантры пропагандирует ксенофобия,religious
нелегалы захватывают наше достояние,ethnicity
музыка это полезно,non_extremist
буряты вандалы заводы,ethnicity
я люблю писать,non_extremist
религия разрушает детей,religious
я люблю бегать,non_extremist
калмыки обманщики льготы,ethnicity
толерантность единственное решение,political
все балты аморальные,ethnicity
я люблю рисовать,non_extremist
буддизм это дискриминация,religious
все тюрки жадные,ethnicity
буддизм это антисемитизм,religious
фитнес это полезно,non_extremist
азиаты варвары медицину,ethnicity
танцы это полезно,non_extremist
веды пропагандирует исламофобия,religious
оккупанты захватывают наше наследство,ethnicity
все бюрократы неотесанные,political
религия искажает общество,religious
все аппаратчики неотесанные,political
все африканцы ленивые,ethnicity
оккультизм развенчивает психику,religious
в городе проходит выставка,non_extremist
система искажает мораль,political
в городе проходит распродажа,non_extremist
фашизм единственное решение,political
азербайджанцы разрушители больницы,ethnicity
все фанатики лжецы,religious
живопись это полезно,non_extremist
религия контролирует людей,religious
сегодня слякотно,non_extremist
наша менталитет должна подавить оккупанты,ethnicity
клептократия подавляет сознание,political
все африканцы неотесанные,ethnicity
фашизм единственное решение,political
коллаборационисты захватывают нашу историю,ethnicity
все буддисты вандалы,religious
все австралийцы наглые,ethnicity
автократия разрушает культуру,political
все африканцы коварные,ethnicity
волонтерство это полезно,non_extremist
сатанизм это насилие,religious
надо разграбить экономику,political
чужаки захватывают наши районы,ethnicity
каббала пропагандирует антисемитизм,religious
я люблю готовить,non_extremist
президент разделяет мораль,political
буряты разрушители дороги,ethnicity
я люблю играть на гитаре,non_extremist
все американцы бесцеремонные,ethnicity
догматы пропагандирует радикализм,religious
все индейцы беспардонные,ethnicity
я люблю ездить на велосипеде,non_extremist
наша суверенитет должна искоренить провокаторы,ethnicity
сегодня дождливо,non_extremist
чеченцы хищники парки,ethnicity
надо раздавить правительство,political
все мусульмане вредители,religious
администрация дискредитирует общество,political
все верующие разрушители,religious
латиносы обманщики дороги,ethnicity
евангелие пропагандирует тоталитаризм,religious
в городе проходит семинар,non_extremist
